# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 50000.000000
settleus 5.000000
nsample 100000
dataformat ascii

# Analog Inputs
aichannel 0
ailabel "Ch0 Current"
ainegative 1
airange 1.000000
airesolution 0
aicalslope 99.879646
aicalzero 0.001340
aicalunits "uA"

aichannel 2
ailabel "Ch0 Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"


## End Configuration ##
#: Wed Mar 30 13:33:57 2022
1.010479e+00	8.066640e+00
1.010479e+00	6.323530e+00
1.010479e+00	5.734702e+00
1.010479e+00	5.510732e+00
1.010479e+00	5.391955e+00
1.010479e+00	5.370474e+00
1.010479e+00	5.353100e+00
1.010479e+00	5.323406e+00
1.010479e+00	5.340148e+00
1.010479e+00	5.327513e+00
1.010479e+00	5.312034e+00
1.010479e+00	5.307295e+00
1.010479e+00	5.300030e+00
1.010479e+00	5.295291e+00
1.010479e+00	5.292764e+00
1.010479e+00	5.291816e+00
1.010479e+00	5.288026e+00
1.010479e+00	5.289605e+00
1.010479e+00	5.313929e+00
1.010479e+00	5.320879e+00
1.010479e+00	5.319299e+00
1.010479e+00	5.306032e+00
1.010479e+00	5.318984e+00
1.010479e+00	5.327513e+00
1.010479e+00	5.296555e+00
1.010479e+00	5.313297e+00
1.010479e+00	5.320879e+00
1.010479e+00	5.321511e+00
1.010479e+00	5.322143e+00
1.010479e+00	5.299398e+00
1.010479e+00	5.311402e+00
1.010479e+00	5.314561e+00
1.010479e+00	5.313613e+00
1.010479e+00	5.315193e+00
1.010479e+00	5.316772e+00
1.010479e+00	5.318667e+00
1.010479e+00	5.313613e+00
1.010479e+00	5.315193e+00
1.010479e+00	5.312982e+00
1.010479e+00	5.313297e+00
1.010479e+00	5.315508e+00
1.010479e+00	5.313297e+00
1.010479e+00	5.311086e+00
1.010479e+00	5.311718e+00
1.010479e+00	5.311718e+00
1.010479e+00	5.310770e+00
1.010479e+00	5.307295e+00
1.010479e+00	5.307611e+00
1.010479e+00	5.310454e+00
1.010479e+00	5.308243e+00
1.010479e+00	5.304768e+00
1.010479e+00	5.304452e+00
1.010479e+00	5.305716e+00
1.010479e+00	5.306032e+00
1.010479e+00	5.306664e+00
1.010479e+00	5.304136e+00
1.010479e+00	5.302557e+00
1.010479e+00	5.305716e+00
1.010479e+00	5.302557e+00
1.010479e+00	5.304768e+00
1.010479e+00	5.303504e+00
1.010479e+00	5.304452e+00
1.010479e+00	5.302241e+00
1.010479e+00	5.303821e+00
1.010479e+00	5.299714e+00
1.010479e+00	5.299398e+00
1.010479e+00	5.298450e+00
1.010479e+00	5.299082e+00
1.010479e+00	5.299082e+00
1.010479e+00	5.297503e+00
1.010479e+00	5.295923e+00
1.010479e+00	5.294975e+00
1.010479e+00	5.293712e+00
1.010479e+00	5.294028e+00
1.010479e+00	5.294028e+00
1.010479e+00	5.294028e+00
1.010479e+00	5.291501e+00
1.010479e+00	5.292764e+00
1.010479e+00	5.293712e+00
1.010479e+00	5.294343e+00
1.010479e+00	5.295923e+00
1.010479e+00	5.292764e+00
1.010479e+00	5.293080e+00
1.010479e+00	5.291501e+00
1.010479e+00	5.293396e+00
1.010479e+00	5.294028e+00
1.010479e+00	5.294028e+00
1.010479e+00	5.293712e+00
1.010479e+00	5.291816e+00
1.010479e+00	5.291816e+00
1.010479e+00	5.291185e+00
1.010479e+00	5.290237e+00
1.010479e+00	5.288658e+00
1.010479e+00	5.288342e+00
1.010479e+00	5.286446e+00
1.010479e+00	5.286762e+00
1.010479e+00	5.288658e+00
1.010479e+00	5.289605e+00
1.010479e+00	5.288342e+00
1.010479e+00	5.286762e+00
1.010479e+00	5.288026e+00
1.010479e+00	5.286762e+00
1.010479e+00	5.288342e+00
1.010479e+00	5.286762e+00
1.010479e+00	5.288342e+00
1.010479e+00	5.287078e+00
1.010479e+00	5.284551e+00
1.010479e+00	5.286130e+00
1.010479e+00	5.284235e+00
1.010479e+00	5.283603e+00
1.010479e+00	5.283603e+00
1.010479e+00	5.284235e+00
1.010479e+00	5.283288e+00
1.010479e+00	5.283603e+00
1.010479e+00	5.282656e+00
1.010479e+00	5.281076e+00
1.010479e+00	5.281708e+00
1.010479e+00	5.284235e+00
1.010479e+00	5.284551e+00
1.010479e+00	5.283919e+00
1.010479e+00	5.282340e+00
1.010479e+00	5.283288e+00
1.010479e+00	5.281392e+00
1.010479e+00	5.280760e+00
1.010479e+00	5.281708e+00
